year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1992,AB,Alberta,9.5,1280.0,72.2,13.8,8.7
1992,BC,British Columbia,10.1,1617.2,66.9,15.6,9.1
1992,CA,Canada,11.2,12730.9,65.7,17.2,10.0
1992,MB,Manitoba,9.3,499.9,66.5,15.4,7.8
1992,NB,New Brunswick,13.0,296.9,58.9,20.7,11.5
1992,NL,Newfoundland and Labrador,20.0,194.9,54.4,29.6,17.6
1992,NS,Nova Scotia,13.1,368.9,60.0,20.2,11.7
1992,ON,Ontario,10.8,4932.9,67.3,17.7,9.4
1992,PE,Prince Edward Island,17.6,53.7,65.6,22.7,16.8
1992,QC,Quebec,12.7,3038.6,62.6,17.7,11.8
1992,SK,Saskatchewan,8.0,448.0,66.5,14.3,7.1
1993,AB,Alberta,9.6,1288.7,71.8,13.3,8.8
1993,BC,British Columbia,9.7,1668.0,66.7,13.9,8.7
1993,CA,Canada,11.4,12792.7,65.3,17.2,10.3
1993,MB,Manitoba,9.3,503.8,66.9,14.8,8.3
1993,NB,New Brunswick,12.6,299.9,58.9,19.7,11.0
1993,NL,Newfoundland and Labrador,20.1,193.8,53.9,30.8,17.7
1993,NS,Nova Scotia,14.3,366.5,60.0,21.5,13.0
1993,ON,Ontario,10.9,4938.0,66.7,17.7,9.7
1993,PE,Prince Edward Island,16.9,54.6,65.2,21.9,16.4
1993,QC,Quebec,13.2,3030.9,62.3,18.8,12.2
1993,SK,Saskatchewan,8.3,448.5,66.5,14.2,7.5
1994,AB,Alberta,8.8,1324.5,72.0,12.6,7.9
1994,BC,British Columbia,9.1,1743.2,67.1,14.5,8.1
1994,CA,Canada,10.4,13058.7,65.2,15.9,9.4
1994,MB,Manitoba,8.8,507.7,66.7,14.9,7.4
1994,NB,New Brunswick,12.5,298.6,58.4,18.8,11.4
1994,NL,Newfoundland and Labrador,20.0,193.5,53.8,29.7,18.0
1994,NS,Nova Scotia,13.5,372.6,60.1,22.1,11.7
1994,ON,Ontario,9.6,5013.6,65.9,15.7,8.5
1994,PE,Prince Edward Island,16.5,55.7,65.4,20.0,15.8
1994,QC,Quebec,12.3,3094.8,62.5,16.9,11.4
1994,SK,Saskatchewan,6.9,454.5,66.1,12.5,6.0
1995,AB,Alberta,7.8,1364.9,72.3,11.8,7.0
1995,BC,British Columbia,8.5,1785.6,66.3,14.0,7.4
1995,CA,Canada,9.5,13295.4,64.8,14.8,8.5
1995,MB,Manitoba,7.3,516.5,66.6,12.1,6.2
1995,NB,New Brunswick,11.4,307.5,59.1,17.7,10.3
1995,NL,Newfoundland and Labrador,18.0,194.4,53.1,27.1,16.2
1995,NS,Nova Scotia,12.2,375.9,59.4,19.0,10.8
1995,ON,Ontario,8.7,5100.0,65.5,14.7,7.7
1995,PE,Prince Edward Island,14.8,57.2,65.0,18.6,14.2
1995,QC,Quebec,11.5,3135.3,62.2,16.1,10.5
1995,SK,Saskatchewan,6.7,458.0,66.0,11.8,6.1
1996,AB,Alberta,6.9,1405.6,72.3,11.5,5.8
1996,BC,British Columbia,8.7,1813.4,65.6,14.2,7.8
1996,CA,Canada,9.6,13420.1,64.7,15.4,8.6
1996,MB,Manitoba,7.2,517.7,66.4,12.0,6.2
1996,NB,New Brunswick,11.6,305.8,58.7,18.5,10.1
